City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,labuan bajo,-8.4964,119.8877,29.27,73,84,4.11,ID,1707371782
246,camana,-16.6228,-72.7111,24.13,89,66,0.99,PE,1707371782
247,yakeshi,49.2833,120.7333,-15.33,88,99,3.39,CN,1707371782
248,chonchi,-42.6128,-73.8092,8.56,97,34,0.85,CL,1707371688
249,barwala,29.3833,75.9167,19.34,18,22,6.97,IN,1707371783
250,vilyuchinsk,52.9306,158.4028,-3.85,85,100,0.7,RU,1707371783
251,tsiombe,-25.3,45.4833,27.36,65,3,1.69,MG,1707371616
252,litayan,7.3358,124.0347,28.21,73,92,3.75,PH,1707371783
253,badger,64.8,-147.5333,-21.67,79,40,0.0,US,1707371694
254,laishevo,55.4046,49.5504,-9.88,97,100,3.48,RU,1707371784
255,port lincoln,-34.7333,135.8667,20.66,57,3,6.63,AU,1707371717
256,atherton,53.5237,-2.4935,3.36,82,100,2.24,GB,1707371785
257,dobrush,52.4089,31.3237,-2.78,71,30,3.27,BY,1707371785
258,stephenville,32.2207,-98.2023,15.1,77,100,3.09,US,1707371785
259,ulladulla,-35.35,150.4667,21.49,52,62,3.44,AU,1707371675
260,gadzhiyevo,69.2551,33.3362,-24.51,100,93,3.43,RU,1707371679
261,sisimiut,66.9395,-53.6735,-13.51,93,100,9.61,GL,1707371786
262,quellon,-43.1167,-73.6167,9.09,89,20,1.58,CL,1707371786
263,tual,-5.6667,132.75,27.96,78,100,8.19,ID,1707371677
264,saldanha,-33.0117,17.9442,16.03,73,10,3.79,ZA,1707371787
265,bel ombre,-4.6167,55.4167,28.91,79,40,5.14,SC,1707371656
266,kulmbach,50.1,11.45,4.08,94,100,1.07,DE,1707371787
267,kuta,-8.7233,115.1723,30.0,79,20,4.12,ID,1707371788
268,ete,7.05,7.45,20.62,28,7,1.92,NG,1707371788
269,new norfolk,-42.7826,147.0587,21.72,38,2,2.48,AU,1707371789
270,port saint john's,-31.6229,29.5448,23.41,56,15,1.49,ZA,1707371789
271,tuscaloosa,33.2098,-87.5692,11.88,49,0,0.0,US,1707371734
272,harper,4.375,-7.7169,25.77,85,6,1.49,LR,1707371789
273,wau,7.7029,27.9953,24.45,19,73,3.32,SS,1707371790
274,mount pearl,47.5166,-52.7813,-2.25,92,100,7.2,CA,1707371790
275,nyagan,62.1406,65.3936,-5.83,95,100,2.66,RU,1707371791
276,avanigadda,16.0215,80.9181,29.41,41,36,1.64,IN,1707371791
277,rio grande,-32.035,-52.0986,22.19,86,51,4.5,BR,1707371591
278,al lagowa,11.4,29.1333,20.65,16,2,4.34,SD,1707371791
279,plettenberg bay,-34.0527,23.3716,19.85,77,75,2.18,ZA,1707371792
280,novo aripuana,-5.1206,-60.3797,25.4,84,85,0.45,BR,1707371792
281,san antonio de pale,-1.4014,5.6325,27.79,79,59,3.52,GQ,1707371792
282,gornozavodsk,58.3758,58.3211,-11.19,96,91,2.7,RU,1707371793
283,calvinia,-31.4707,19.776,15.23,64,0,1.83,ZA,1707371793
284,pointe michel,15.25,-61.3833,26.58,81,94,5.44,DM,1707371793
285,iquitos,-3.7481,-73.2472,25.02,94,75,0.51,PE,1707371573
286,geraldton,-28.7667,114.6,44.23,7,0,4.12,AU,1707371794
